30692,33505
30697,33502
30693,33510
30699,33508
30698,33516
30706,33520
30704,33527
30713,33526
30708,33535
30713,33544
30721,33549
30725,33561
30719,33559
30732,33566
30732,33564
30735,33578
30731,33586
30742,33587
30729,33591
30741,33599
30739,33604
30748,33612
30738,33608
30744,33614
30742,33620
30746,33626
30742,33631
30748,33636
30740,33638
30749,33644
30751,33649
30760,33655
30750,33662
30765,33667
30756,33673
30765,33672
30758,33672
30767,33673
30761,33655
30761,33636
30749,33610
30748,33588
30732,33557
30731,33534
30715,33514
30715,33501
30717,33493
30714,33492
30713,33484
30718,33484
30711,33481
30722,33480
30715,33473
30726,33470
30717,33472
30721,33462
30718,33458
30720,33453
30713,33455
30716,33448
30712,33451
30712,33454
30711,33469
30712,33474
30722,33483
30722,33487
30723,33501
30740,33505
30741,33508
30743,33511
30747,33516
30749,33516
30757,33517
30754,33512
30759,33521
30760,33523
30763,33531
30760,33526
30760,33540
30763,33537
30763,33545
30763,33542
30770,33558
30768,33560
30779,33569
30782,33569
30789,33579
30788,33584
30799,33592
30791,33594
30799,33607
30794,33608
30803,33618
30800,33618
30802,33619
30794,33623
30797,33634
30787,33629
30790,33643
30790,33645
30788,33651
30784,33652
30783,33657
30778,33653
30781,33667
30771,33668
30777,33675
30776,33674
30787,33688
30778,33686
30791,33698
30782,33693
30788,33682
30774,33671
30775,33652
30758,33626
30755,33598
30745,33573
30737,33557
30721,33540
30730,33528
30715,33522
30722,33522
30711,33514
30715,33518
30710,33511
30710,33517
30701,33505
30706,33510
30698,33500
30699,33502
30693,33499
30699,33498
30695,33496
30699,33499
30694,33502
30694,33508
30688,33520
30696,33520
30696,33531
30699,33536
30691,33545
30699,33541
30700,33550
30703,33547
30700,33549
30701,33549
30696,33554
30703,33551
30712,33550
30711,33562
30714,33559
30711,33566
30722,33568
30718,33566
30724,33573
30719,33580
30722,33581
30723,33588
30723,33597
30725,33601
30725,33606
30728,33615
30726,33619
30732,33624
30737,33627
30729,33633
30738,33638
30739,33642
30737,33653
30735,33662
30736,33658
30737,33665
30738,33663
30740,33674
30742,33675
30745,33685
30746,33686
30747,33693
30744,33694
30750,33707
30755,33707
30755,33707
30765,33710
30753,33715
30758,33704
30751,33692
30746,33664
30736,33650
30726,33621
30713,33605
30712,33587
30702,33566
30698,33562
30694,33553
30693,33546
30696,33544
30699,33539
30697,33541
30695,33539
30696,33528
30690,33524
30684,33519
30681,33513
30687,33504
30690,33510
30682,33501
30682,33503
30680,33505
30689,33508
30688,33521
30681,33517
30685,33530
30689,33528
30693,33542
30697,33540
30703,33551
30695,33548
30699,33551
30696,33550
30698,33548
30701,33545
30705,33550
