25733,9.27,18.33
25715,1.55,-2.84
25705,-9.28,-30.70
25688,-21.06,-64.17
25676,-34.26,-99.47
25656,-47.29,-133.25
25650,-58.68,-162.83
25633,-69.50,-185.69
25630,-77.52,-202.16
25617,-83.40,-215.30
25610,-89.23,-225.05
25597,-93.77,-234.80
25587,-99.83,-244.30
25582,-103.59,-252.58
25577,-106.66,-257.69
25568,-108.57,-261.80
25557,-110.64,-264.70
25548,-113.61,-266.72
25541,-116.93,-269.64
25532,-120.09,-271.66
25523,-122.59,-274.58
25511,-125.71,-279.84
25507,-127.92,-288.09
25494,-131.02,-295.70
25487,-133.47,-301.92
25481,-134.29,-304.58
25479,-134.58,-301.61
25476,-132.35,-296.27
25471,-129.73,-288.45
25467,-126.75,-280.03
25464,-124.16,-273.78
25451,-124.20,-269.84
25447,-123.99,-270.59
25437,-125.30,-271.56
25432,-127.03,-275.98
25415,-129.68,-282.44
25410,-132.45,-287.08
25404,-134.07,-289.23
25403,-134.62,-284.27
25400,-131.64,-274.31
25398,-128.06,-261.84
25393,-124.41,-249.50
25397,-119.68,-237.03
25398,-114.20,-221.17
25407,-106.23,-200.86
25412,-96.17,-177.06
25426,-84.12,-148.45
25433,-71.16,-117.53
25452,-56.35,-86.41
25459,-41.79,-54.33
25469,-28.95,-27.36
25476,-16.75,-3.98
25480,-8.91,14.22
25483,-2.47,25.75
25482,0.90,31.70
25485,3.10,32.36
25486,4.45,28.48
25481,3.73,21.06
25476,2.05,10.27
25464,-3.30,-4.50
25462,-9.14,-19.27
25453,-15.69,-32.05
25463,-18.15,-38.19
25466,-16.74,-33.53
25479,-11.66,-18.11
25490,-1.82,4.55
25503,8.27,32.56
25512,19.35,58.69
25521,28.88,80.50
25523,35.69,96.22
25523,38.91,101.41
25517,38.21,98.59
25511,33.80,88.17
25503,27.12,69.52
25490,17.52,43.80
25473,5.64,11.11
25454,-8.90,-29.20
25438,-24.70,-68.00
25434,-37.47,-99.36
25431,-46.09,-116.89
25431,-49.54,-121.30
25434,-48.06,-115.23
25437,-44.91,-105.47
25432,-42.41,-98.95
25423,-42.29,-96.75
25417,-44.43,-102.91
25412,-48.45,-111.02
25407,-52.28,-118.47
25409,-53.17,-121.55
25411,-52.01,-116.72
25416,-48.41,-108.12
25418,-43.24,-96.47
25424,-37.33,-83.14
25424,-32.21,-69.98
25431,-26.84,-57.48
25431,-22.26,-46.11
25435,-18.39,-37.31
25429,-16.23,-34.45
25431,-15.42,-32.48
25430,-14.90,-32.86
25429,-15.66,-35.97
25421,-16.88,-39.17
25419,-19.03,-46.72
25411,-22.83,-58.62
25400,-28.94,-75.19
25385,-36.48,-93.67
25378,-44.91,-113.23
25374,-51.91,-129.58
25365,-58.07,-141.34
25362,-60.92,-148.53
25354,-63.88,-153.11
25347,-67.43,-158.45
25346,-68.80,-161.53
25343,-70.11,-163.70
25336,-71.10,-164.77
25331,-71.55,-163.78
25330,-71.97,-164.09
25324,-73.12,-163.14
25327,-71.72,-156.47
25339,-66.13,-139.89
25350,-57.83,-114.16
25355,-47.19,-88.19
25353,-38.33,-68.03
25351,-33.41,-58.62
25350,-31.74,-55.94
25349,-31.66,-55.66
25355,-29.58,-53.38
25358,-26.34,-44.47
25370,-20.02,-28.75
25384,-10.27,-4.31
25402,2.00,25.66
25410,14.90,57.12
25429,28.90,88.53
25443,42.20,119.62
25460,54.59,149.88
25471,67.11,178.14
25475,75.26,198.47
25484,81.74,211.78
25484,83.66,217.20
25487,83.48,215.84
25484,81.55,210.56
25481,76.72,200.53
25478,71.38,187.75
25476,65.06,174.86
25482,61.31,164.11
25486,59.50,158.91
25493,60.27,157.47
25492,61.26,158.84
25497,61.95,160.16
25497,61.59,158.66
25499,60.02,153.22
25498,58.52,146.06
25496,55.34,139.00
25498,52.82,131.05
25498,49.93,124.00
25499,47.69,112.05
25484,42.30,92.95
25479,35.44,67.56
25460,24.16,35.94
25450,10.70,3.39
25440,-0.83,-26.53
25435,-11.78,-51.72
25432,-18.20,-69.14
25431,-22.03,-78.94
25429,-23.68,-83.23
25431,-23.50,-83.81
25428,-23.32,-82.88
25431,-22.16,-81.23
25429,-21.05,-78.17
25431,-19.99,-76.27
25424,-20.00,-75.20
25423,-21.00,-75.94
25413,-23.95,-82.14
25406,-29.01,-89.53
25402,-33.05,-98.05
25400,-37.16,-107.14
25394,-40.05,-110.80
25394,-41.04,-112.27
25394,-40.98,-108.16
25398,-39.43,-100.25
25399,-36.21,-89.73
25402,-32.41,-76.73
25408,-27.29,-65.14
25408,-23.43,-53.39
25411,-19.26,-43.72
25411,-16.04,-36.80
25408,-15.23,-33.22
25405,-15.22,-33.55
25401,-16.96,-38.12
25398,-19.37,-42.47
25401,-20.15,-46.59
25402,-19.89,-47.02
25401,-18.89,-44.16
25401,-17.20,-42.44
25396,-17.59,-42.81
25393,-18.96,-47.67
25384,-22.27,-56.05
25382,-25.91,-64.50
25384,-27.61,-69.78
25386,-27.98,-70.05
25396,-23.58,-62.03
25399,-18.15,-47.42
25405,-11.99,-32.30
25397,-8.64,-22.94
25392,-9.21,-22.80
25388,-11.50,-29.66
25388,-15.18,-36.17
25394,-15.17,-37.11
25397,-13.16,-30.75
25406,-7.99,-18.47
25410,-2.09,-1.55
25420,4.52,16.03
25418,9.54,30.22
25419,12.30,34.45
25404,10.19,29.73
25402,5.18,18.00
25399,0.17,4.61
25400,-4.59,-3.12
25395,-6.61,-7.22
25398,-7.28,-6.61
25398,-7.17,-2.78
25404,-5.81,3.86
25407,-2.52,12.42
25417,2.36,21.80
25419,7.49,31.45
25427,12.87,41.64
25428,17.48,50.80
25435,21.10,58.02
25430,22.80,61.62
25435,23.66,63.30
25435,24.23,63.39
25435,23.02,62.97
25434,22.87,61.31
25428,19.98,54.98
25420,15.23,44.23
25415,9.46,28.77
25405,1.73,9.83
25397,-6.10,-11.91
25386,-14.30,-33.56
25378,-22.83,-53.88
25370,-30.44,-71.69
25366,-36.66,-85.61
25354,-42.84,-98.08
25348,-48.20,-110.17
25338,-53.78,-123.41
25329,-60.34,-141.48
25309,-68.57,-163.66
25294,-78.64,-189.98
25284,-88.21,-214.23
25284,-95.05,-230.27
25280,-97.55,-234.75
25288,-94.17,-227.25
25286,-88.96,-213.64
25290,-83.02,-199.97
25286,-77.37,-189.22
25289,-73.25,-181.02
25286,-69.59,-174.72
25292,-65.62,-167.47
25289,-61.59,-160.09
25290,-58.26,-151.33
25288,-54.84,-143.50
25289,-52.85,-137.34
25285,-51.21,-131.23
25290,-48.65,-125.19
25292,-45.21,-111.94
25312,-37.20,-90.58
25322,-26.09,-64.55
25334,-13.78,-37.06
25334,-2.59,-15.70
25333,2.78,-3.42
25331,4.90,0.00
25320,1.16,-6.50
25315,-3.66,-17.17
25314,-8.22,-28.81
25314,-12.06,-36.38
25316,-12.46,-38.06
25319,-10.84,-32.66
25326,-7.30,-22.53
25333,-2.18,-9.66
25335,2.68,5.08
25332,5.80,15.56
25336,8.01,21.30
25333,7.61,22.47
25330,5.98,19.84
25327,4.43,15.59
25331,2.96,12.06
25326,1.06,8.22
25334,2.01,8.81
25333,3.41,12.38
25339,5.23,19.52
25339,8.22,27.78
25341,9.56,32.14
25336,9.84,33.78
25338,9.09,33.08
25341,9.14,32.94
25341,8.68,32.53
25345,10.49,33.16
25346,11.97,32.75
25342,11.62,30.36
25345,12.04,26.09
25337,9.44,21.30
25336,6.46,14.98
25331,3.39,2.48
25320,-3.03,-12.12
25315,-8.38,-28.52
25314,-13.45,-44.09
25359,-5.78,-20.64
25368,6.51,10.38
25370,19.93,45.84
25375,34.18,82.31
25373,35.97,85.95
25373,35.42,85.41
25366,32.65,80.66
25369,29.52,75.38
25366,26.30,71.59
25375,25.48,71.53
25381,27.96,78.69
25395,33.06,93.75
25413,43.16,115.56
25425,53.49,140.53
25428,62.57,160.27
25425,66.95,170.00
25421,65.60,165.75
25412,59.08,146.95
25397,48.38,119.86
25384,35.70,85.36
25374,22.16,50.84
25369,10.30,21.55
25367,2.29,0.72
25365,-2.57,-13.31
25357,-6.70,-25.89
25346,-12.11,-39.84
25340,-18.26,-58.61
25328,-26.59,-79.67
25318,-35.01,-98.69
25315,-41.01,-115.25
25303,-48.20,-128.73
25306,-51.30,-136.56
25299,-53.48,-139.48
25301,-54.31,-138.50
25297,-53.10,-136.58
25292,-53.95,-136.00
25282,-55.50,-141.45
25270,-60.48,-151.14
25267,-64.95,-159.58
25274,-66.20,-161.84
25282,-62.89,-152.25
25294,-53.74,-132.64
25299,-43.05,-108.27
25301,-34.16,-90.59
25298,-28.45,-80.06
25291,-27.77,-78.81
25291,-28.38,-80.36
25294,-28.71,-78.09
25297,-27.53,-71.19
25307,-22.16,-58.38
25317,-14.55,-39.97
25329,-5.07,-16.97
25338,5.44,6.38
25342,13.91,26.31
25337,18.22,32.00
25317,14.30,18.14
25297,3.34,-10.77
25283,-11.58,-47.72
25275,-26.50,-78.84
25281,-34.17,-94.14
25289,-34.46,-90.94
25303,-27.74,-73.16
25307,-18.36,-49.73
25313,-9.45,-27.75
25306,-4.73,-17.11
25305,-3.98,-16.50
25298,-6.03,-22.42
25300,-8.98,-28.06
25303,-9.27,-26.91
25309,-7.81,-18.31
25323,-1.17,-2.41
25327,5.63,15.47
25331,12.35,30.95
25330,16.98,41.41
25331,18.13,43.59
25329,17.73,43.41
25335,17.84,42.97
25337,18.70,45.81
25344,21.02,53.52
25347,24.47,63.09
25357,28.75,75.44
25362,33.56,85.94
25367,37.63,94.89
25363,39.75,98.66
25361,38.76,95.23
25356,35.32,86.97
25355,30.55,76.62
25353,26.53,68.53
25361,25.20,64.86
25366,26.44,68.86
25380,31.37,78.41
25382,37.05,89.00
25382,40.45,95.30
25379,41.68,96.78
25379,39.34,90.94
25375,35.62,80.62
25370,30.84,69.09
25362,25.05,54.64
25358,18.54,38.42
25358,13.36,25.00
